,Susceptible: 0-20,Exposed: 0-20,Infected (symptomatic): 0-20,Asymptomatically Infected: 0-20,Recovered: 0-20,Hospitalised: 0-20,Critical: 0-20,Deaths: 0-20,Susceptible: 20-40,Exposed: 20-40,Infected (symptomatic): 20-40,Asymptomatically Infected: 20-40,Recovered: 20-40,Hospitalised: 20-40,Critical: 20-40,Deaths: 20-40,Susceptible: 40+,Exposed: 40+,Infected (symptomatic): 40+,Asymptomatically Infected: 40+,Recovered: 40+,Hospitalised: 40+,Critical: 40+,Deaths: 40+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths
142,0.009242240700182418,2.1844528619161877e-06,6.2374272009893245e-06,6.353968926808526e-06,0.3907247149717897,4.1184096669476027e-07,6.743147546109173e-09,1.884989492401605e-05,0.009242240700182418,2.1844528619161877e-06,6.2374272009893245e-06,6.353968926808526e-06,0.3905512986604457,4.118409666947605e-06,6.743147546109188e-08,0.00018849894924016035,0.0008345223601233961,2.0706026418830528e-07,9.770647051065452e-07,1.0251274929354286e-06,0.19403552861767803,1.4709831032456782e-05,1.458981647751489e-06,0.005112070957055943,142.0,0.019319003760488233,4.575965988020681e-06,1.3451919107085194e-05,1.373306534655248e-05,0.9753115422499135,1.9240081666099148e-05,1.5331562707586901e-06,0.0053194198012201195,4.55144561508497e-07,8.151696314724274e-07
143,0.009242054769801077,1.8652243456369258e-06,5.335097374804432e-06,5.430513719308021e-06,0.3907270897138132,3.6561614240113346e-07,5.990191137915436e-09,1.885307461256642e-05,0.009242054769801077,1.8652243456369258e-06,5.335097374804432e-06,5.430513719308021e-06,0.3905540675852985,3.656161424011337e-06,5.990191137915458e-08,0.00018853074612566411,0.0008345055716555681,1.760642682099951e-07,8.215495596732726e-07,8.609000625858364e-07,0.1940370717274401,1.301504936799644e-05,1.291421738342759e-06,0.005112757715907331,143.0,0.019318615111257723,3.906512959483847e-06,1.1491744309282137e-05,1.172192750120188e-05,0.9753182290265517,1.703682693440891e-05,1.357313840859829e-06,0.005320141536645561,3.886492305101019e-07,7.217354254414332e-07
144,0.009241896005160255,1.5926525696080439e-06,4.56296786501308e-06,4.641088299208464e-06,0.390729121557954,3.245092226209233e-07,5.320021947437346e-09,1.885589890751773e-05,0.009241896005160255,1.5926525696080439e-06,4.56296786501308e-06,4.641088299208464e-06,0.39055645000458544,3.245092226209234e-06,5.320021947437357e-08,0.0001885589890751772,0.0008344912361013383,1.4976138298387183e-07,6.909956228312254e-07,7.232131468762869e-07,0.19403842224993864,1.151405565957214e-05,1.1429323751597831e-06,0.005113365555772435,144.0,0.01931828324642185,3.3350665221999594e-06,9.816931352857386e-06,1.0005389745293214e-05,0.975323993812478,1.5083657108402296e-05,1.2014526165815941e-06,0.00532078044375513,3.318648358723031e-07,6.389071095687371e-07
145,0.009241760437048285,1.3599172234185798e-06,3.9023079544021185e-06,3.9662678702818555e-06,0.3907308599751422,2.879640945353782e-07,4.72373885381704e-09,1.8858406928179597e-05,0.009241760437048285,1.3599172234185798e-06,3.9023079544021185e-06,3.9662678702818555e-06,0.39055850012228827,2.8796409453537838e-06,4.723738853816991e-08,0.00018858406928179587,0.0008344789950632144,1.274304550932089e-07,5.81363956345729e-07,6.077415635492646e-07,0.1940396046931517,1.0184937007872347e-05,1.0113742375324904e-06,0.005113903464564543,145.0,0.019317999869159785,2.8472649019303686e-06,8.385979865149965e-06,8.540277304112976e-06,0.9753289647905822,1.3352542047761509e-05,1.0633353649244774e-06,0.005321345940774518,2.83377262065565e-07,5.654970193884334e-07
146,0.009241644677844725,1.1611912081766054e-06,3.3370822025413034e-06,3.389448070563119e-06,0.3907323472902388,2.5548349122349374e-07,4.1933314730396e-09,1.8860633612562095e-05,0.009241644677844725,1.1611912081766054e-06,3.3370822025413034e-06,3.389448070563119e-06,0.39056026449632175,2.5548349122349382e-06,4.193331473039606e-08,0.00018860633612562087,0.0008344685426581219,1.0846049167028817e-07,4.892786040703082e-07,5.10874728432774e-07,0.19404064036332336,9.008217853686875e-06,8.948329837082496e-07,0.0051143794293568145,146.0,0.01931775789834757,2.430842908023499e-06,7.163443009152915e-06,7.289770869559012e-06,0.975333252149884,1.1818536257145307e-05,9.409596299116852e-07,0.005321846399094997,2.419708122133879e-07,5.004583204792912e-07
147,0.009241545833262631,9.915075266722167e-07,2.8535420814508366e-06,2.8964157268600082e-06,0.39073361974664605,2.266230077783326e-07,3.7216953243420633e-09,1.886261005330834e-05,0.009241545833262631,9.915075266722167e-07,2.8535420814508366e-06,2.8964157268600082e-06,0.3905617831538386,2.2662300777833265e-06,3.721695324342044e-08,0.0001886261005330833,0.0008344596175482257,9.234034284335374e-08,4.1190691538461947e-07,4.2958836731324944e-07,0.19404154780897895,7.966594987764794e-06,7.916236472164435e-07,0.005114800519212166,147.0,0.01931755128407349,2.0753553961877873e-06,6.118991078286292e-06,6.222419821033266e-06,0.9753369507094636,1.0459448073326453e-05,8.32562295784206e-07,0.005322289229798558,2.0661427408211197e-07,4.4283070356043036e-07
148,0.009241461432484988,8.466208317706256e-07,2.4399179929968178e-06,2.475020232530461e-06,0.3907347083563452,2.009856703160506e-07,3.3024212189125548e-09,1.886436402106936e-05,0.009241461432484988,8.466208317706256e-07,2.4399179929968178e-06,2.475020232530461e-06,0.390563090487332,2.0098567031605066e-06,3.302421218912535e-08,0.00018864364021069346,0.0008344519966326447,7.863607027823455e-08,3.468794200839245e-07,3.6135587887295446e-07,0.19404234317865302,7.044700834146157e-06,7.002333642825926e-07,0.005115173019146547,148.0,0.01931737486160262,1.7718777338194859e-06,5.22671540607756e-06,5.311396343933876e-06,0.9753401420223302,9.255543207622714e-06,7.365599976906306e-07,0.00532268102337831,1.7642247086835372e-07,3.917935797520186e-07
149,0.009241389364812991,7.229046395563487e-07,2.086127370340454e-06,2.1148665751629897e-06,0.39073563966952,1.7821703992169892e-07,2.9298160939249814e-09,1.886592022596954e-05,0.009241389364812991,7.229046395563487e-07,2.086127370340454e-06,2.1148665751629897e-06,0.39056421606578245,1.78217039921699e-06,2.929816093924883e-08,0.00018865920225969528,0.0008344454893271466,6.698033654338783e-08,2.922100916787404e-07,3.0406238144059953e-07,0.19404304054630425,6.22889106695979e-06,6.193277234984261e-07,0.005115502492768369,149.0,0.01931722421895313,1.5127896156560853e-06,4.464464832359649e-06,4.533795531766579e-06,0.9753428962816068,8.189278506098479e-06,6.515557005315998e-07,0.005323027615254034,1.506426494900237e-07,3.4659187572380623e-07
150,0.009241327828334275,6.172674405547793e-07,1.7835362003610325e-06,1.8070659225712283e-06,0.39073643640179423,1.5800083809632338e-07,2.5987321711388744e-09,1.886730073778448e-05,0.009241327828334275,6.172674405547793e-07,1.7835362003610325e-06,1.8070659225712283e-06,0.39056518529902207,1.5800083809632347e-06,2.5987321711388462e-08,0.00018867300737784466,0.0008344399329291778,5.706459964506715e-08,2.462342510126731e-07,2.559381063341192e-07,0.19404365217948025,5.5070572957476895e-06,5.477046513554816e-07,0.005115793888686361,150.0,0.019317095589597728,1.2915994807546257e-06,3.813306651734738e-06,3.870069951476576e-06,0.9753452738802966,7.2450665148072476e-06,5.76290705238009e-07,0.00532333419680199,1.2862935540314258e-07,3.0658154795675657e-07
151,0.009241275284431295,5.270664613227816e-07,1.5247543736140317e-06,1.5440188848029915e-06,0.39073711799112104,1.4005494815522312e-07,2.3046518345316726e-09,1.8868525128044923e-05,0.009241275284431295,5.270664613227816e-07,1.5247543736140317e-06,1.5440188848029915e-06,0.39056602002856894,1.400549481552232e-06,2.304651834531646e-08,0.00018868525128044913,0.0008344351885102271,4.8626002973523476e-08,2.0755792365592124e-07,2.1550277008232917e-07,0.1940441887785569,4.868456627860697e-06,4.843185412399917e-07,0.005116051571066953,151.0,0.019316985757372816,1.1027589256190867e-06,3.257066670883985e-06,3.303540539688312e-06,0.9753473267982469,6.4090610575681514e-06,5.096697114198398e-07,0.005323605347475447,1.0983222491212086e-07,2.711506734568228e-07
