,Susceptible: 0-20,Exposed: 0-20,Infected (symptomatic): 0-20,Asymptomatically Infected: 0-20,Recovered: 0-20,Hospitalised: 0-20,Critical: 0-20,Deaths: 0-20,Susceptible: 20-40,Exposed: 20-40,Infected (symptomatic): 20-40,Asymptomatically Infected: 20-40,Recovered: 20-40,Hospitalised: 20-40,Critical: 20-40,Deaths: 20-40,Susceptible: 40+,Exposed: 40+,Infected (symptomatic): 40+,Asymptomatically Infected: 40+,Recovered: 40+,Hospitalised: 40+,Critical: 40+,Deaths: 40+,Time,Susceptible,Exposed,Infected (symptomatic),Asymptomatically Infected,Recovered,Hospitalised,Critical,Deaths,New Exposure,New Deaths,R0
313,0.11733078755529547,0.006652302553402762,0.006258280372132029,0.006258280372132029,0.26347725146089157,3.149649335694885e-05,4.2928874723640685e-07,1.1171904042268059e-05,0.053212085322054625,0.0044413346421657545,0.004686030367399287,0.004686030367399287,0.33255661548712934,0.000285691109685592,4.0192173265610254e-06,0.00014819348683964992,0.08976377897855842,0.0028524546645804804,0.002637274151648947,0.002637274151648947,0.09637005386779475,0.0012864065661807153,0.00017433167428037658,0.004288425945307429,112.0,0.2603066518559085,0.013946091860148996,0.013581584891180264,0.013581584891180264,0.6924039208158157,0.0016035941692232561,0.000178780180354174,0.004447791336189347,0.002472606423294277,9.11353736420921e-05,2.210526315789474
314,0.11622240267163794,0.006159863684974334,0.005848369217552567,0.005848369217552567,0.2658991322085032,3.0069421072966428e-05,4.114815012743176e-07,1.1382097205491512e-05,0.05252480253652262,0.004065891480689762,0.004317488992365473,0.004317488992365473,0.33437135635588505,0.0002690257664975313,3.7982790221699254e-06,0.00015014759665198186,0.08928439957457032,0.002644937367582512,0.0024701095743273043,0.0024701095743273043,0.09736783064489349,0.0012311821376790582,0.00016753602207255887,0.004373895104547543,113.0,0.2580316047827309,0.01287069253324661,0.012635967784245345,0.012635967784245345,0.6976383192092818,0.001530277325249556,0.00017174578259600311,0.004535424798405017,0.002275047073177605,8.763346221567041e-05,2.210526315789474
315,0.11520042341377516,0.005700020407986428,0.005458895708058051,0.005458895708058051,0.2681611278391966,2.8659825987212734e-05,3.937063708947358e-07,1.1583390567850765e-05,0.051896198762925325,0.0037216731595938438,0.003975069686435124,0.003975069686435124,0.3360434284482092,0.0002529834337359076,3.5839502830889652e-06,0.00015199287238242093,0.08884223383962692,0.00245044636623141,0.0023105040123665805,0.0023105040123665805,0.09830334323453527,0.0011763058928057934,0.00016070630878400468,0.004455956333283528,114.0,0.2559388560163274,0.011872139933811681,0.011744469406859755,0.011744469406859755,0.7025078995219411,0.0014579491525289136,0.00016468396543798837,0.004619532596233799,0.0020927487664035294,8.410779782878214e-05,2.210526315789474
316,0.11425843651953439,0.005271231721287093,0.005089755738745719,0.005089755738745719,0.27027139507873366,2.7273328357500977e-05,3.760512961356747e-07,1.1775823300073652e-05,0.051321202619162065,0.003406253845182509,0.003657428941259734,0.003657428941259734,0.3375829895346863,0.0002375866059191256,3.3767704125763037e-06,0.00015373274211803536,0.08843458915520473,0.0022684808488374546,0.0021585330101335826,0.0021585330101335826,0.09917935928450845,0.0011220229847954716,0.00015387975741830285,0.004534601948968498,115.0,0.2540142282939012,0.010945966415307058,0.010905717690139035,0.010905717690139035,0.7070337438979284,0.0013868829190720982,0.00015763257912701481,0.004700110514386607,0.0019246277224261865,8.057791815280733e-05,2.210526315789474
317,0.11339045556333241,0.004871918091560721,0.0047406909598983445,0.0047406909598983445,0.2722380115429372,2.5914810686319933e-05,3.5859624858639635e-07,1.195947543836314e-05,0.05079518610999685,0.0031173496981023127,0.003363204994008876,0.003363204994008876,0.3389996562050994,0.00022284997019135218,3.1771369773985657e-06,0.00015537089161497534,0.08805893757565027,0.0020985041710696577,0.0020142011050523424,0.0020142011050523424,0.09999867279496183,0.0010685508921096942,0.00014709017191718326,0.0046098421841867425,116.0,0.25224457924897953,0.010087771960732692,0.010118097058959562,0.010118097058959562,0.7112363405429984,0.0013173156729873662,0.00015062590514316822,0.004777172551240081,0.0017696490449216618,7.70620368534744e-05,2.210526315789474
318,0.11259089621741396,0.004500491398030134,0.004411309298492691,0.004411309298492691,0.274068929449145,2.458846182774046e-05,3.41411851820174e-07,1.2134464746171352e-05,0.050313923179454094,0.002852826590666231,0.003091031273481737,0.003091031273481737,0.34030250980607835,0.00020878135052259918,2.9853462292591814e-06,0.00015691118008606892,0.08771290848673437,0.0019399580684961555,0.0018774496644288923,0.0018774496644288923,0.1007640820960878,0.0010160806280567597,0.00014036806511335932,0.004681703326653849,117.0,0.2506177278836024,0.00929327605719252,0.00937979023640332,0.00937979023640332,0.7151355213513111,0.0012494504404070993,0.00014369482319443868,0.004850748971486089,0.0016268513653771022,7.357642024600781e-05,2.210526315789474
319,0.11185455871120761,0.0041553779393633545,0.004101108922689811,0.004101108922689811,0.27577192219106533,2.3297811272752818e-05,3.2455926622967656e-07,1.2300942445335176e-05,0.049873556069566886,0.0026106993519618266,0.002839554126099142,0.002839554126099142,0.3415000945520126,0.00019538258536558746,2.8016098260505304e-06,0.00015835757906880655,0.08739428409472845,0.001792274200433629,0.0017481659068193957,0.0017481659068193957,0.101478365616676,0.0009647775599264696,0.00013374069344835476,0.00475022602114837,118.0,0.24912239887550297,0.008558351491758811,0.008688828955608349,0.008688828955608349,0.7187503823597539,0.0011834579565648097,0.00013686686254063497,0.004920884542662512,0.0014953290080994552,7.013557117642281e-05,2.210526315789474
320,0.11117660855100882,0.0038350268315949163,0.0038095037315643327,0.0038095037315643327,0.27735454420905953,2.2045765632259184e-05,3.0809182171940196e-07,1.2459087754381043e-05,0.04947056435392499,0.002389122135776984,0.002607450602352256,0.002607450602352256,0.3426004218986617,0.00018265021134635849,2.62604001596512e-06,0.00015971415556951366,0.08710099396565904,0.0016548783307581301,0.0016261936887411027,0.0016261936887411027,0.10214426210116806,0.0009147824172552153,0.00012723200926198266,0.004815463798415445,119.0,0.24774816687059284,0.00787902729813003,0.008043148022657692,0.008043148022657692,0.7220992282088894,0.001119478394233833,0.0001301661410996672,0.004987637041739339,0.0013742320049101309,6.675249907682739e-05,2.210526315789474
321,0.11055255452272322,0.0035379302991067857,0.003535838046123334,0.003535838046123334,0.2788241032680775,2.0834658833481485e-05,2.920535521396857e-07,1.260910546048243e-05,0.049101734251590305,0.00218638881714444,0.0023934344884432852,0.0023934344884432852,0.34361098794522726,0.00017057632123600717,2.458694157592524e-06,0.0001609849937577964,0.08683110751660096,0.0015272014644475368,0.0015113389304936401,0.0015113389304936401,0.10276445603801915,0.0008662129240938721,0.00012086290801932543,0.004877481287831954,120.0,0.24648539629091448,0.0072515205806987625,0.007440611465060259,0.007440611465060259,0.725199547251324,0.0010576239041633607,0.00012361365572905765,0.0050510753870502325,0.0012627705796783573,6.343834531089346e-05,2.210526315789474
322,0.10997823110397038,0.0032626240954000698,0.0032794096053092446,0.0032794096053092446,0.28018763159735244,1.9666290925673147e-05,2.7648228678517316e-07,1.2751219446431745e-05,0.04876413344273469,0.00200091986100084,0.002196269545256022,0.002196269545256022,0.3445387846996274,0.0001591491603390621,2.2995393233810994e-06,0.00016217420646254195,0.08658282847792806,0.0014086805996613107,0.001403380061626975,0.001403380061626975,0.10334156179342278,0.0008191649315522691,0.00011465120174536676,0.0049363528724363365,121.0,0.24532519302463313,0.006672224556062221,0.006879059212192242,0.006879059212192242,0.7280679780904027,0.0009979803828170043,0.00011722722335553304,0.005111278298345311,0.0011602032662813566,6.020291129507811e-05,2.210526315789474
